config,action
[ 50  50 800 300],3
[ 50  55 800 300],3
[ 50  60 800 300],3
[ 50  65 800 300],3
[ 50  70 800 300],3
[ 50  75 800 300],3
[ 50  80 800 300],3
[ 50  85 800 300],3
[ 50  90 800 300],3
[ 50  95 800 300],3
[ 50 100 800 300],3
[ 50 105 800 300],3
[ 50 110 800 300],3
[ 50 115 800 300],3
[ 50 120 800 300],3
[ 50 125 800 300],3
[ 50 130 800 300],3
[ 50 135 800 300],3
[ 50 140 800 300],3
[ 50 145 800 300],3
[ 50 150 800 300],3
[ 50 155 800 300],3
[ 50 160 800 300],3
[ 50 165 800 300],3
[ 50 170 800 300],3
[ 50 175 800 300],3
[ 50 180 800 300],3
[ 50 185 800 300],3
[ 50 190 800 300],3
[ 50 195 800 300],3
[ 50 200 800 300],3
[ 50 205 800 300],3
[ 50 210 800 300],3
[ 50 215 800 300],3
[ 50 220 800 300],3
[ 50 225 800 300],2
[ 55 225 800 300],2
[ 60 225 800 300],2
[ 65 225 800 300],2
[ 70 225 800 300],2
[ 75 225 800 300],2
[ 80 225 800 300],2
[ 85 225 800 300],2
[ 90 225 800 300],2
[ 95 225 800 300],2
[100 225 800 300],2
[105 225 800 300],2
[110 225 800 300],2
[115 225 800 300],2
[120 225 800 300],2
[125 225 800 300],2
[130 225 800 300],2
[135 225 800 300],2
[140 225 800 300],2
[145 225 800 300],2
[150 225 800 300],2
[155 225 800 300],2
[160 225 800 300],2
[165 225 800 300],2
[170 225 800 300],2
[175 225 800 300],2
[180 225 800 300],2
[185 225 800 300],2
[190 225 800 300],2
[195 225 800 300],2
[200 225 800 300],2
[205 225 800 300],2
[210 225 800 300],2
[215 225 800 300],2
[220 225 800 300],2
[225 225 800 300],2
[230 225 800 300],2
[235 225 800 300],2
[240 225 800 300],2
[245 225 800 300],2
[250 225 800 300],2
[255 225 800 300],2
[260 225 800 300],2
[265 225 800 300],2
[270 225 800 300],2
[275 225 800 300],2
[280 225 800 300],2
[285 225 800 300],2
[290 225 800 300],2
[295 225 800 300],2
[300 225 800 300],2
[305 225 800 300],2
[310 225 800 300],2
[315 225 800 300],2
[320 225 800 300],2
[325 225 800 300],2
[330 225 800 300],2
[335 225 800 300],2
[340 225 800 300],2
[345 225 800 300],2
[350 225 800 300],2
[355 225 800 300],2
[360 225 800 300],3
[360 230 800 300],3
[360 235 800 300],3
[360 240 800 300],3
[360 245 800 300],3
[360 250 800 300],3
[360 255 800 300],3
[360 260 800 300],3
[360 265 800 300],3
[360 270 800 300],3
[360 275 800 300],3
[360 280 800 300],3
[360 285 800 300],3
[360 290 800 300],3
[360 295 800 300],3
[360 300 800 300],3
[360 305 800 300],3
[360 310 800 300],3
[360 315 800 300],3
[360 320 800 300],3
[360 325 800 300],3
[360 330 800 300],3
[360 335 800 300],3
[360 340 800 300],3
[360 345 800 300],3
[360 350 800 300],3
[360 355 800 300],3
[360 360 800 300],3
[360 365 800 300],3
[360 370 800 300],3
[360 375 800 300],3
[360 380 800 300],3
[360 385 800 300],3
[360 390 800 300],3
[360 395 800 300],3
[360 400 800 300],3
[360 405 800 300],3
[360 410 800 300],3
[360 415 800 300],3
[360 420 800 300],3
[360 425 800 300],2
[365 425 800 300],2
[370 425 800 300],2
[375 425 800 300],2
[380 425 800 300],2
[385 425 800 300],2
[390 425 800 300],2
[395 425 800 300],2
[400 425 800 300],2
[405 425 800 300],2
[410 425 800 300],2
[415 425 800 300],2
[420 425 800 300],2
[425 425 800 300],2
[430 425 800 300],2
[435 425 800 300],2
[440 425 800 300],2
[445 425 800 300],2
[450 425 800 300],2
[455 425 800 300],2
[460 425 800 300],2
[465 425 800 300],2
[470 425 800 300],2
[475 425 800 300],2
[480 425 800 300],2
[485 425 800 300],2
[490 425 800 300],2
[495 425 800 300],2
[500 425 800 300],2
[505 425 800 300],2
[510 425 800 300],2
[515 425 800 300],2
[520 425 800 300],2
[525 425 800 300],1
[525 420 800 300],1
[525 415 800 300],1
[525 410 800 300],1
[525 405 800 300],1
[525 400 800 300],1
[525 395 800 300],1
[525 390 800 300],1
[525 385 800 300],1
[525 380 800 300],1
[525 375 800 300],1
[525 370 800 300],1
[525 365 800 300],1
[525 360 800 300],1
[525 355 800 300],1
[525 350 800 300],1
[525 345 800 300],1
[525 340 800 300],1
[525 335 800 300],1
[525 330 800 300],1
[525 325 800 300],1
[525 320 800 300],1
[525 315 800 300],1
[525 310 800 300],1
[525 305 800 300],1
[525 300 800 300],1
[525 295 800 300],1
[525 290 800 300],1
[525 285 800 300],1
[525 280 800 300],1
[525 275 800 300],1
[525 270 800 300],1
[525 265 800 300],2
[530 265 800 300],2
[535 265 800 300],2
[540 265 800 300],2
[545 265 800 300],2
[550 265 800 300],2
[555 265 800 300],2
[560 265 800 300],2
[565 265 800 300],2
[570 265 800 300],2
[575 265 800 300],2
[580 265 800 300],2
[585 265 800 300],2
[590 265 800 300],2
[595 265 800 300],2
[600 265 800 300],2
[605 265 800 300],2
[610 265 800 300],2
[615 265 800 300],2
[620 265 800 300],2
[625 265 800 300],2
[630 265 800 300],2
[635 265 800 300],2
[640 265 800 300],2
[645 265 800 300],2
[650 265 800 300],2
[655 265 800 300],2
[660 265 800 300],2
[665 265 800 300],2
[670 265 800 300],2
[675 265 800 300],2
[680 265 800 300],2
[685 265 800 300],2
[690 265 800 300],2
[695 265 800 300],2
[700 265 800 300],2
[705 265 800 300],2
[710 265 800 300],2
[715 265 800 300],2
[720 265 800 300],2
[725 265 800 300],2
[730 265 800 300],2
[735 265 800 300],2
[740 265 800 300],2
[745 265 800 300],2
[750 265 800 300],2
[755 265 800 300],2
[760 265 800 300],2
[765 265 800 300],2
[770 265 800 300],2
[775 265 800 300],2
[780 265 800 300],2
[785 265 800 300],2
[790 265 800 300],3
[790 270 800 300],3
[ 50  50 800 300],3
[ 50  55 800 300],3
[ 50  60 800 300],3
[ 50  65 800 300],3
[ 50  70 800 300],3
[ 50  75 800 300],3
[ 50  80 800 300],3
[ 50  85 800 300],3
[ 50  90 800 300],3
[ 50  95 800 300],3
[ 50 100 800 300],3
[ 50 105 800 300],3
[ 50 110 800 300],3
[ 50 115 800 300],3
[ 50 120 800 300],3
[ 50 125 800 300],3
[ 50 130 800 300],3
[ 50 135 800 300],3
[ 50 140 800 300],3
[ 50 145 800 300],3
[ 50 150 800 300],3
[ 50 155 800 300],3
[ 50 160 800 300],3
[ 50 165 800 300],3
[ 50 170 800 300],3
[ 50 175 800 300],3
[ 50 180 800 300],3
[ 50 185 800 300],3
[ 50 190 800 300],3
[ 50 195 800 300],3
[ 50 200 800 300],3
[ 50 205 800 300],3
[ 50 210 800 300],3
[ 50 215 800 300],3
[ 50 220 800 300],3
[ 50 225 800 300],3
[ 50 230 800 300],3
[ 50 235 800 300],3
[ 50 240 800 300],2
[ 55 240 800 300],2
[ 60 240 800 300],2
[ 65 240 800 300],2
[ 70 240 800 300],2
[ 75 240 800 300],2
[ 80 240 800 300],2
[ 85 240 800 300],2
[ 90 240 800 300],2
[ 95 240 800 300],2
[100 240 800 300],2
[105 240 800 300],2
[110 240 800 300],2
[115 240 800 300],2
[120 240 800 300],2
[125 240 800 300],2
[130 240 800 300],2
[135 240 800 300],2
[140 240 800 300],2
[145 240 800 300],2
[150 240 800 300],2
[155 240 800 300],2
[160 240 800 300],2
[165 240 800 300],2
[170 240 800 300],2
[175 240 800 300],2
[180 240 800 300],2
[185 240 800 300],2
[190 240 800 300],2
[195 240 800 300],2
[200 240 800 300],2
[205 240 800 300],2
[210 240 800 300],2
[215 240 800 300],2
[220 240 800 300],2
[225 240 800 300],2
[230 240 800 300],2
[235 240 800 300],2
[240 240 800 300],2
[245 240 800 300],2
[250 240 800 300],2
[255 240 800 300],2
[260 240 800 300],2
[265 240 800 300],2
[270 240 800 300],2
[275 240 800 300],2
[280 240 800 300],2
[285 240 800 300],2
[290 240 800 300],2
[295 240 800 300],2
[300 240 800 300],2
[305 240 800 300],2
[310 240 800 300],2
[315 240 800 300],2
[320 240 800 300],2
[325 240 800 300],3
[325 245 800 300],3
[325 250 800 300],3
[325 255 800 300],3
[325 260 800 300],3
[325 265 800 300],3
[325 270 800 300],3
[325 275 800 300],3
[325 280 800 300],3
[325 285 800 300],3
[325 290 800 300],3
[325 295 800 300],3
[325 300 800 300],3
[325 305 800 300],3
[325 310 800 300],3
[325 315 800 300],3
[325 320 800 300],3
[325 325 800 300],3
[325 330 800 300],3
[325 335 800 300],3
[325 340 800 300],3
[325 345 800 300],3
[325 350 800 300],3
