config,action
[ 50  50 800 300],3
[ 50  55 800 300],3
[ 50  60 800 300],3
[ 50  65 800 300],3
[ 50  70 800 300],3
[ 50  75 800 300],3
[ 50  80 800 300],3
[ 50  85 800 300],3
[ 50  90 800 300],3
[ 50  95 800 300],3
[ 50 100 800 300],3
[ 50 105 800 300],3
[ 50 110 800 300],3
[ 50 115 800 300],3
[ 50 120 800 300],3
[ 50 125 800 300],3
[ 50 130 800 300],3
[ 50 135 800 300],3
[ 50 140 800 300],3
[ 50 145 800 300],3
[ 50 150 800 300],3
[ 50 155 800 300],3
[ 50 160 800 300],3
[ 50 165 800 300],3
[ 50 170 800 300],3
[ 50 175 800 300],3
[ 50 180 800 300],3
[ 50 185 800 300],3
[ 50 190 800 300],3
[ 50 195 800 300],3
[ 50 200 800 300],3
[ 50 205 800 300],3
[ 50 210 800 300],3
[ 50 215 800 300],3
[ 50 220 800 300],3
[ 50 225 800 300],3
[ 50 230 800 300],3
[ 50 235 800 300],3
[ 50 240 800 300],3
[ 50 245 800 300],2
[ 55 245 800 300],2
[ 60 245 800 300],2
[ 65 245 800 300],2
[ 70 245 800 300],2
[ 75 245 800 300],2
[ 80 245 800 300],2
[ 85 245 800 300],2
[ 90 245 800 300],2
[ 95 245 800 300],2
[100 245 800 300],2
[105 245 800 300],2
[110 245 800 300],2
[115 245 800 300],2
[120 245 800 300],2
[125 245 800 300],2
[130 245 800 300],2
[135 245 800 300],2
[140 245 800 300],2
[145 245 800 300],2
[150 245 800 300],2
[155 245 800 300],2
[160 245 800 300],2
[165 245 800 300],2
[170 245 800 300],2
[175 245 800 300],2
[180 245 800 300],2
[185 245 800 300],2
[190 245 800 300],2
[195 245 800 300],2
[200 245 800 300],2
[205 245 800 300],2
[210 245 800 300],2
[215 245 800 300],2
[220 245 800 300],2
[225 245 800 300],2
[230 245 800 300],2
[235 245 800 300],2
[240 245 800 300],2
[245 245 800 300],2
[250 245 800 300],2
[255 245 800 300],2
[260 245 800 300],2
[265 245 800 300],2
[270 245 800 300],2
[275 245 800 300],2
[280 245 800 300],2
[285 245 800 300],2
[290 245 800 300],2
[295 245 800 300],2
[300 245 800 300],2
[305 245 800 300],2
[310 245 800 300],2
[315 245 800 300],2
[320 245 800 300],2
[325 245 800 300],2
[330 245 800 300],2
[335 245 800 300],2
[340 245 800 300],2
[345 245 800 300],2
[350 245 800 300],2
[355 245 800 300],2
[360 245 800 300],2
[365 245 800 300],2
[370 245 800 300],2
[375 245 800 300],2
[380 245 800 300],2
[385 245 800 300],2
[390 245 800 300],3
[390 250 800 300],3
[390 255 800 300],3
[390 260 800 300],3
[390 265 800 300],3
[390 270 800 300],3
[390 275 800 300],3
[390 280 800 300],3
[390 285 800 300],3
[390 290 800 300],3
[390 295 800 300],3
[390 300 800 300],3
[390 305 800 300],3
[390 310 800 300],3
[390 315 800 300],3
[390 320 800 300],3
[390 325 800 300],3
[390 330 800 300],3
[390 335 800 300],3
[390 340 800 300],3
[390 345 800 300],3
[390 350 800 300],3
[390 355 800 300],3
[390 360 800 300],3
[390 365 800 300],3
[390 370 800 300],3
[390 375 800 300],3
[390 380 800 300],3
[390 385 800 300],3
[390 390 800 300],3
[390 395 800 300],3
[390 400 800 300],3
[390 405 800 300],3
[390 410 800 300],3
[390 415 800 300],3
[390 420 800 300],3
[390 425 800 300],3
[390 430 800 300],3
[390 435 800 300],3
[390 440 800 300],3
[390 445 800 300],3
[390 450 800 300],3
[390 455 800 300],2
[395 455 800 300],2
[400 455 800 300],2
[405 455 800 300],2
[410 455 800 300],2
[415 455 800 300],2
[420 455 800 300],2
[425 455 800 300],2
[430 455 800 300],2
[435 455 800 300],2
[440 455 800 300],2
[445 455 800 300],2
[450 455 800 300],2
[455 455 800 300],2
[460 455 800 300],2
[465 455 800 300],2
[470 455 800 300],2
[475 455 800 300],2
[480 455 800 300],2
[485 455 800 300],2
[490 455 800 300],2
[495 455 800 300],2
[500 455 800 300],2
[505 455 800 300],2
[510 455 800 300],2
[515 455 800 300],2
[520 455 800 300],2
[525 455 800 300],2
[530 455 800 300],2
[535 455 800 300],2
[540 455 800 300],2
[545 455 800 300],2
[550 455 800 300],2
[555 455 800 300],2
[560 455 800 300],2
[565 455 800 300],2
[570 455 800 300],2
[575 455 800 300],2
[580 455 800 300],2
[585 455 800 300],2
[590 455 800 300],2
[595 455 800 300],2
[600 455 800 300],2
[605 455 800 300],2
[610 455 800 300],2
[615 455 800 300],2
[620 455 800 300],2
[625 455 800 300],2
[630 455 800 300],2
[635 455 800 300],2
[640 455 800 300],2
[645 455 800 300],2
[650 455 800 300],2
[655 455 800 300],2
[660 455 800 300],2
[665 455 800 300],2
[670 455 800 300],2
[675 455 800 300],2
[680 455 800 300],2
[685 455 800 300],2
[690 455 800 300],2
[695 455 800 300],2
[700 455 800 300],2
[705 455 800 300],2
[710 455 800 300],1
[710 450 800 300],1
[710 445 800 300],1
[710 440 800 300],1
[710 435 800 300],1
[710 430 800 300],1
[710 425 800 300],1
[710 420 800 300],1
[710 415 800 300],1
[710 410 800 300],1
[710 405 800 300],1
[710 400 800 300],1
[710 395 800 300],1
[710 390 800 300],1
[710 385 800 300],1
[710 380 800 300],1
[710 375 800 300],1
[710 370 800 300],1
[710 365 800 300],1
[710 360 800 300],1
[710 355 800 300],1
[710 350 800 300],1
[710 345 800 300],1
[710 340 800 300],1
[710 335 800 300],1
[710 330 800 300],1
[710 325 800 300],1
[710 320 800 300],1
[710 315 800 300],1
[710 310 800 300],1
[710 305 800 300],2
[715 305 800 300],2
[720 305 800 300],2
[725 305 800 300],2
[730 305 800 300],2
[735 305 800 300],2
[740 305 800 300],2
[745 305 800 300],2
[750 305 800 300],2
[755 305 800 300],2
[760 305 800 300],2
[765 305 800 300],2
[770 305 800 300],2
[ 50  50 800 300],3
[ 50  55 800 300],3
[ 50  60 800 300],3
[ 50  65 800 300],3
[ 50  70 800 300],3
[ 50  75 800 300],3
[ 50  80 800 300],3
[ 50  85 800 300],3
[ 50  90 800 300],3
[ 50  95 800 300],3
[ 50 100 800 300],3
[ 50 105 800 300],3
[ 50 110 800 300],3
[ 50 115 800 300],3
[ 50 120 800 300],3
[ 50 125 800 300],3
[ 50 130 800 300],3
[ 50 135 800 300],3
[ 50 140 800 300],3
[ 50 145 800 300],3
[ 50 150 800 300],3
[ 50 155 800 300],3
[ 50 160 800 300],3
[ 50 165 800 300],3
[ 50 170 800 300],3
[ 50 175 800 300],3
[ 50 180 800 300],3
[ 50 185 800 300],3
[ 50 190 800 300],3
[ 50 195 800 300],3
[ 50 200 800 300],3
[ 50 205 800 300],3
[ 50 210 800 300],3
[ 50 215 800 300],3
[ 50 220 800 300],3
[ 50 225 800 300],3
[ 50 230 800 300],3
[ 50 235 800 300],2
[ 55 235 800 300],2
[ 60 235 800 300],2
[ 65 235 800 300],2
[ 70 235 800 300],2
[ 75 235 800 300],2
[ 80 235 800 300],2
[ 85 235 800 300],2
[ 90 235 800 300],2
[ 95 235 800 300],2
[100 235 800 300],2
[105 235 800 300],2
[110 235 800 300],2
[115 235 800 300],2
[120 235 800 300],2
[125 235 800 300],2
[130 235 800 300],2
[135 235 800 300],2
[140 235 800 300],2
[145 235 800 300],2
[150 235 800 300],2
[155 235 800 300],2
[160 235 800 300],2
[165 235 800 300],2
[170 235 800 300],2
[175 235 800 300],2
[180 235 800 300],2
[185 235 800 300],2
[190 235 800 300],2
[195 235 800 300],2
[200 235 800 300],2
[205 235 800 300],2
[210 235 800 300],2
[215 235 800 300],2
[220 235 800 300],2
[225 235 800 300],2
[230 235 800 300],2
[235 235 800 300],2
[240 235 800 300],2
[245 235 800 300],2
[250 235 800 300],2
[255 235 800 300],2
[260 235 800 300],2
[265 235 800 300],2
[270 235 800 300],2
[275 235 800 300],2
[280 235 800 300],2
[285 235 800 300],2
[290 235 800 300],2
[295 235 800 300],2
[300 235 800 300],2
[305 235 800 300],2
[310 235 800 300],2
[315 235 800 300],2
[320 235 800 300],2
[325 235 800 300],2
[330 235 800 300],2
[335 235 800 300],2
[340 235 800 300],2
[345 235 800 300],2
[350 235 800 300],2
[355 235 800 300],2
[360 235 800 300],2
[365 235 800 300],2
[370 235 800 300],2
[375 235 800 300],2
[380 235 800 300],2
[385 235 800 300],2
[390 235 800 300],2
[395 235 800 300],3
[395 240 800 300],3
[395 245 800 300],3
[395 250 800 300],3
[395 255 800 300],3
[395 260 800 300],3
[395 265 800 300],3
[395 270 800 300],3
[395 275 800 300],3
[395 280 800 300],3
[395 285 800 300],3
